id,station_id,date,avg_temp,precipitation,min_temp,min_temp_time,max_temp,max_temp_time,wind_direction,avg_wind_speed,wind_gust,wind_gust_time,avg_humidity,max_humidity,max_humidity_time,min_humidity,min_humidity_time,created_at,updated_at
61693,118,2011-10-02,,,,,,,0,,,,71,,,,,2025-05-06 10:14:03.587350,2025-05-06 10:14:03.587350
55350,118,2010-06-28,,0,,,,,0,,,,,,,,,2025-05-06 10:09:56.099632,2025-05-06 10:09:56.099632
55363,118,2010-06-29,23,0,20.1,05:00,25.9,12:10,0,,,,66,78,20:00,54,09:30,2025-05-06 10:09:56.223514,2025-05-06 10:09:56.223514
55376,118,2010-06-30,22.2,0,19.7,06:30,24.8,13:00,0,,,,65,76,01:40,59,,2025-05-06 10:09:56.342978,2025-05-06 10:09:56.342978
55389,118,2010-07-01,22,,19.3,06:00,24.6,14:30,0,,,,63,75,,57,14:30,2025-05-06 10:09:56.463815,2025-05-06 10:09:56.463815
55402,118,2010-07-02,,0,,,,,0,,,,54,,,,,2025-05-06 10:09:56.582112,2025-05-06 10:09:56.582112
55415,118,2010-07-03,24.4,1,20,23:59,28.7,14:10,0,,,,62,86,22:40,43,,2025-05-06 10:09:56.706628,2025-05-06 10:09:56.706628
55428,118,2010-07-04,22.3,0,18.7,07:10,25.9,13:40,0,,,,61,88,00:40,44,15:00,2025-05-06 10:09:56.773606,2025-05-06 10:09:56.773606
55441,118,2010-07-05,,,,,,,0,,,,62,,,,,2025-05-06 10:09:56.856414,2025-05-06 10:09:56.856414
55466,118,2010-07-07,,0,,,,,0,,,,69,,,,,2025-05-06 10:09:57.080451,2025-05-06 10:09:57.080451
55479,118,2010-07-08,,,,,,,0,,,,67,,,,,2025-05-06 10:09:57.198415,2025-05-06 10:09:57.198415
55492,118,2010-07-09,22.8,0,20.1,07:00,25.5,13:00,0,,,,70,78,,59,12:50,2025-05-06 10:09:57.319416,2025-05-06 10:09:57.319416
55505,118,2010-07-10,23.3,0,20.1,06:00,26.5,14:10,0,,,,67,79,00:30,57,11:10,2025-05-06 10:09:57.436681,2025-05-06 10:09:57.436681
55518,118,2010-07-11,24.6,,20.2,04:20,29,17:40,0,,,,52,72,02:10,48,09:50,2025-05-06 10:09:57.551123,2025-05-06 10:09:57.551123
55530,118,2010-07-12,,,,,,,0,,,,61,,,,,2025-05-06 10:09:57.668259,2025-05-06 10:09:57.668259
55541,118,2010-07-13,23.6,0,20.6,23:59,26.5,15:00,0,,,,66,79,05:50,58,,2025-05-06 10:09:57.767205,2025-05-06 10:09:57.767205
